A_BABY_BIBCLOTH;en;Baby Bibs - A_BABY_BIBCLOTH
A_BABY_CARSEAT;en;Car Seats - A_BABY_CARSEAT
A_BABY_NAPPIES;en;Nappies and Diapers - A_BABY_NAPPIES
A_BOOK_ATLAS;en;Atlases and Maps - A_BOOK_ATLAS
A_BOOK_ADULT;en;Adult Activity Books without Explicit Material - A_BOOK_ADULT
A_BOOK_AUDIOBOOK;en;Audiobooks in the physical format - A_BOOK_AUDIOBOOK
A_BOOK_GLOBE;en;Globes - A_BOOK_GLOBE
A_BOOK_MAGAZINE;en;Magazines - A_BOOK_MAGAZINE
A_BOOK_MAP;en;Maps - A_BOOK_MAP
A_CLTH_PROTECTIVE;en;Protective Clothing - A_CLTH_PROTECTIVE
A_FOOD_ANIMALFOOD;en;Food for Farm Animals - A_FOOD_ANIMALFOOD
A_FOOD_ANIMALMED;en;Medicine for Farm Animals - A_FOOD_ANIMALMED
A_FOOD_ANIMALVITAMINS;en;Vitamins for Farm Animals - A_FOOD_ANIMALVITAMINS
A_FOOD_CAKEDECOR;en;Edible Cake Decoration - A_FOOD_CAKEDECOR
A_FOOD_CANFRUIT;en;Canned Fruits and Vegetables - A_FOOD_CANFRUIT
A_FOOD_CEREALBARS;en;Cereal Bars - A_FOOD_CEREALBARS
A_FOOD_CEREALCHOCBARS;en;Chocolate Cereal Bars - A_FOOD_CEREALCHOCBARS
A_FOOD_CHOCEREAL;en;Chocolate Cereal - A_FOOD_CHOCEREAL
A_FOOD_CNDY;en;Candy - A_FOOD_CNDY
A_FOOD_COFFEE;en;Coffee - A_FOOD_COFFEE
A_FOOD_DAIRY;en;Milk and other Dairy Foods - A_FOOD_DAIRY
A_FOOD_DESSERT;en;Desserts without Chocolate - A_FOOD_DESSERT
A_FOOD_DRIEDFRUIT;en;Dried Fruits and Vegetables - A_FOOD_DRIEDFRUIT
A_FOOD_FLOUR;en;Flour - A_FOOD_FLOUR
A_FOOD_MEATCHICKEN;en;Chicken or other Meats - A_FOOD_MEATCHICKEN
A_FOOD_MISCBEVERAGE;en;Carbonated Water or other Non-Soda / Juice Drinks - A_FOOD_MISCBEVERAGE
A_FOOD_NAAN;en;Naan - A_FOOD_NAAN
A_FOOD_NCARBWTR;en;Non-Carbonated Water - A_FOOD_NCARBWTR
A_FOOD_OIL;en;Oils - A_FOOD_OIL
A_FOOD_PASTANOODLE;en;Pasta and Noodles - A_FOOD_PASTANOODLE
A_FOOD_PASTRYCASE;en;Pastry - A_FOOD_PASTRYCASE
A_FOOD_PETFOOD;en;Food for Pets - A_FOOD_PETFOOD
A_FOOD_PLAINBISCUIT;en;Plain Biscuits - A_FOOD_PLAINBISCUIT
A_FOOD_PLAINCRACKER;en;Plain Crackers - A_FOOD_PLAINCRACKER
A_FOOD_PLAINNUT;en;Plain Nuts - A_FOOD_PLAINNUT
A_FOOD_RICE;en;Rice - A_FOOD_RICE
A_FOOD_SEASONINGS;en;Salt, Pepper, and other Seasonings - A_FOOD_SEASONINGS
A_FOOD_SNACK;en;Non-chocolate Snacks and Treats - A_FOOD_SNACK
A_FOOD_SODAJUICE;en;Sodas and Juices - A_FOOD_SODAJUICE
A_FOOD_SPREAD;en;Spreadable Food - A_FOOD_SPREAD
A_FOOD_SWEETNER;en;Sugar and other Sweeteners - A_FOOD_SWEETNER
A_FOOD_TEA;en;Tea - A_FOOD_TEA
A_FOOD_VEGETABLE;en;Fresh or Frozen Fruits and Vegetables - A_FOOD_VEGETABLE
A_HLTH_NUTRITIONBAR;en;Nutrition Bar - A_HLTH_NUTRITIONBAR
A_HLTH_NUTRITIONDRINK;en;Nutrition Drink - A_HLTH_NUTRITIONDRINK
A_HLTH_PILLCAPSULETABLET;en;Pills and Capsules - A_HLTH_PILLCAPSULETABLET
A_HLTH_SMOKINGCESSATION;en;Smoking Cessation Aids - A_HLTH_SMOKINGCESSATION
A_HLTH_SMOKINGGUM;en;Smoking Cessation Gum - A_HLTH_SMOKINGGUM
A_HLTH_VITAMINS;en;Vitamins and Minerals - A_HLTH_VITAMINS
A_HPC_CONTRACEPTIVE;en;Condoms and other Contraceptive Aids - A_HPC_CONTRACEPTIVE
A_HPC_DIETARYSUPPL;en;Dietary Supplements - A_HPC_DIETARYSUPPL
